8	3	1
9	5	1
9	6	1
10	0	1
10	2	1
13	5	1
13	6	1
13	9	1
14	0	1
14	3	1
15	0	1
16	14	1
17	1	1
17	6	1
17	9	1
17	13	1
18	15	1
19	1	1
19	7	1
20	8	1
20	16	1
20	18	1
21	18	1
22	17	1
24	14	1
24	15	1
24	18	1
25	17	1
26	1	1
26	25	1
27	1	1
27	7	1
27	17	1
27	25	1
27	26	1
28	1	1
28	8	1
28	20	1
29	10	1
29	18	1
29	21	1
29	24	1
30	7	1
30	19	1
30	28	1
31	17	1
32	9	1
32	13	1
33	12	1
33	14	1
33	16	1
33	21	1
34	14	1
34	33	1
35	29	1
36	1	1
36	20	1
36	23	1
37	8	1
37	14	1
37	16	1
37	21	1
37	33	1
37	34	1
37	36	1
38	14	1
38	16	1
38	20	1
38	33	1
39	36	1
40	0	1
40	7	1
40	14	1
40	15	1
40	33	1
40	36	1
40	37	1
41	1	1
41	9	1
41	13	1
42	0	1
42	2	1
42	10	1
42	30	1
43	14	1
43	29	1
43	33	1
43	37	1
43	38	1
44	2	1
44	20	1
44	34	1
44	38	1
45	8	1
45	15	1
45	18	1
45	21	1
45	23	1
45	24	1
45	29	1
45	37	1
46	43	1
47	0	1
47	10	1
47	20	1
47	28	1
47	30	1
47	42	1
49	34	1
49	46	1
50	14	1
50	16	1
50	20	1
50	33	1
50	42	1
50	45	1
51	4	1
51	11	1
51	18	1
51	21	1
51	23	1
51	24	1
51	29	1
51	45	1
51	50	1
52	14	1
52	29	1
52	38	1
52	40	1
53	43	1
54	1	1
54	6	1
54	7	1
54	13	1
54	19	1
54	41	1
55	15	1
55	51	1
56	5	1
56	6	1
57	5	1
57	6	1
57	9	1
57	13	1
57	17	1
57	39	1
57	41	1
57	48	1
57	54	1
58	38	1
59	3	1
59	8	1
59	15	1
59	36	1
59	45	1
60	32	1
61	2	1
61	37	1
61	53	1
